"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"Herpotrichiellaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	6.5251967641661	1.6850955475793	0.000645714667417141	0.0153004821711317	0.000645714667417141	0.00910780504110618	"abundance"	23	20
"Plectosphaerella"	"pH"	"acidic"	"pHacidic"	-7.86066583841437	1.49711851020062	0.000646055374888155	0.0153004821711317	0.000646055374888155	0.00910780504110618	"abundance"	23	12
"Lobulomycetales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-4.14134586511738	0.817916946663902	0.000724098930276917	0.0167404776499735	0.00144767354129301	0.018190332757986	"abundance"	23	16
"Tolypocladium"	"pH"	"acidic"	"pHacidic"	5.41446149670714	1.40265324042177	0.000758905321444736	0.01713714109588	0.000758905321444736	0.0104439827570252	"abundance"	23	18
"Mallocybe"	"pH"	"acidic"	"pHacidic"	-7.60505570056043	1.69247528538385	0.000925251150507567	0.0204186106168829	0.000925251150507567	0.012437096860311	"abundance"	23	16
"Hygrophorus"	"pH"	"acidic"	"pHacidic"	9.36617332789657	0.218772669165081	0.00105264029343344	0.0227136383316415	0.00105264029343344	0.0138278656728302	"abundance"	23	4
"Branch01_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	7.14889659758709	1.83143835102086	0.00119850084087103	0.0231870212959969	0.00119850084087103	0.0153940774671879	"abundance"	23	15
"Brahmaculus"	"pH"	"acidic"	"pHacidic"	4.30133901856029	1.33652203358824	0.00128949449019962	0.0231870212959969	0.00257732618435898	0.0256843885268878	"prevalence"	23	12
"Cyphellophoraceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-4.30133901856029	1.33652203358824	0.00128949449019962	0.0231870212959969	0.00257732618435898	0.0256843885268878	"prevalence"	23	11
"Cystoderma"	"pH"	"acidic"	"pHacidic"	4.30133901856029	1.33652203358824	0.00128949449019962	0.0231870212959969	0.00257732618435898	0.0256843885268878	"prevalence"	23	12
"Geopora"	"pH"	"acidic"	"pHacidic"	-4.30133901856029	1.33652203358824	0.00128949449019962	0.0231870212959969	0.00257732618435898	0.0256843885268878	"prevalence"	23	11
"Leccinum"	"pH"	"acidic"	"pHacidic"	4.30133901856029	1.33652203358824	0.0012894944901996	0.0231870212959969	0.00257732618435895	0.0256843885268878	"prevalence"	23	12
"Pseudocoleophoma"	"pH"	"acidic"	"pHacidic"	-4.30133901856029	1.33652203358824	0.00128949449019962	0.0231870212959969	0.00257732618435898	0.0256843885268878	"prevalence"	23	11
"Epithamnolia"	"pH"	"acidic"	"pHacidic"	-4.28033270033508	0.245899589495914	0.0015297112001752	0.0270063559158203	0.00305708238399446	0.0294498936324799	"abundance"	23	5
"Tylospora"	"pH"	"acidic"	"pHacidic"	4.96451076264228	1.48315214163418	0.00159147140830385	0.027594977454697	0.00159147140830385	0.0195717122127579	"abundance"	23	23
"Cladophialophora"	"pH"	"acidic"	"pHacidic"	-3.04320319025692	0.674126767962564	0.00167845244654963	0.0285925846596437	0.00167845244654963	0.0202113648772018	"abundance"	23	23
"Clavaria"	"pH"	"acidic"	"pHacidic"	5.77651321946357	1.65185983199128	0.00196100902663243	0.0328299959458637	0.00196100902663243	0.0231319023957866	"abundance"	23	17
"Galerina"	"pH"	"acidic"	"pHacidic"	2.78912657808125	0.853658499329578	0.00200484919289989	0.032995060445861	0.00400567896551352	0.0367505149534415	"abundance"	23	18
"Lecythophora"	"pH"	"acidic"	"pHacidic"	-6.07261497519978	1.41675527519532	0.00210521164038546	0.0337972626536793	0.00210521164038546	0.0243362465628559	"abundance"	23	14
"Phacidium"	"pH"	"acidic"	"pHacidic"	3.63574217296376	1.07026456534322	0.00212320599575122	0.0337972626536793	0.00424190398780205	0.0381779282405624	"abundance"	23	16
"Oidiodendron"	"pH"	"acidic"	"pHacidic"	2.57337913494652	0.851490837818019	0.00237817677414964	0.0358042548885105	0.00237817677414964	0.0256843885268878	"abundance"	23	23
"Triscelophorus"	"pH"	"acidic"	"pHacidic"	-5.59390506287307	1.08744153812807	0.0024845933571388	0.0358042548885105	0.0024845933571388	0.0256843885268878	"abundance"	23	9
"Acarospora"	"pH"	"acidic"	"pHacidic"	3.60689238072797	1.1985597053517	0.00261802481677059	0.0358042548885105	0.00522919557959996	0.0402996672667837	"prevalence"	23	13
"Auriculariales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.62439490497127	1.20181042155671	0.00256319812980328	0.0358042548885105	0.00511982627495393	0.0402996672667837	"prevalence"	23	11
"Babjeviella"	"pH"	"acidic"	"pHacidic"	3.62439490497127	1.20181042155671	0.00256319812980326	0.0358042548885105	0.0051198262749539	0.0402996672667837	"prevalence"	23	11
"Cenangiaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.62439490497127	1.20181042155671	0.00256319812980329	0.0358042548885105	0.00511982627495396	0.0402996672667837	"prevalence"	23	11
"Dothiorella"	"pH"	"acidic"	"pHacidic"	3.60689238072797	1.1985597053517	0.00261802481677057	0.0358042548885105	0.0052291955795999	0.0402996672667837	"prevalence"	23	13
"GS04_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.62439490497127	1.20181042155671	0.00256319812980327	0.0358042548885105	0.00511982627495391	0.0402996672667837	"prevalence"	23	11
"Luellia"	"pH"	"acidic"	"pHacidic"	3.62439490497127	1.20181042155671	0.00256319812980326	0.0358042548885105	0.0051198262749539	0.0402996672667837	"prevalence"	23	11
"Phomatospora"	"pH"	"acidic"	"pHacidic"	-3.60689238072797	1.1985597053517	0.00261802481677059	0.0358042548885105	0.00522919557959996	0.0402996672667837	"prevalence"	23	10
"Hormonema"	"pH"	"acidic"	"pHacidic"	-4.03075408648856	0.841767036015638	0.00276989629528313	0.0373551292044433	0.00553212026507963	0.042073230437053	"abundance"	23	11
"GS12_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	7.78676190990904	2.04333314738283	0.00302846466942075	0.0402827286850349	0.00302846466942075	0.0294498936324799	"abundance"	23	11
"Sordariales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-5.33530282102503	1.44695751282852	0.00344179016576762	0.0451618682562211	0.00344179016576762	0.0326123723903883	"abundance"	23	22
"Vishniacozyma"	"pH"	"acidic"	"pHacidic"	-4.16346424531801	1.0834974328167	0.00368847120268401	0.0477534071707489	0.00368847120268401	0.0343860702443767	"abundance"	23	20
"Inocybe"	"pH"	"acidic"	"pHacidic"	-5.56208590353702	1.56311382380923	0.0042933656325892	0.054853395121633	0.0042933656325892	0.0381779282405624	"abundance"	23	22
"Mycosymbioces"	"pH"	"acidic"	"pHacidic"	4.09700120265859	1.40900658771939	0.00477374579539114	0.0601987943808415	0.00477374579539114	0.0402996672667837	"abundance"	23	21
"Tetracladium"	"pH"	"acidic"	"pHacidic"	-6.63448524642049	1.8315059847436	0.00486710151305925	0.0604239408469806	0.00486710151305925	0.0402996672667837	"abundance"	23	16
"Filobasidiales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	2.92994826713896	1.0462325317004	0.00510274268738658	0.0604239408469806	0.0101794473918395	0.0668604612782187	"prevalence"	23	12
"Phaeotremella"	"pH"	"acidic"	"pHacidic"	2.92994826713896	1.04623253170039	0.00510274268738658	0.0604239408469806	0.0101794473918395	0.0668604612782187	"prevalence"	23	12
"Zoopagomycota_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	2.92994826713896	1.04623253170039	0.0051027426873866	0.0604239408469806	0.0101794473918395	0.0668604612782187	"prevalence"	23	12
"Blastocladiomycota_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	4.27006361670478	1.37688646184517	0.00529992148766434	0.0620026959580973	0.0105717538075533	0.0671480626457779	"abundance"	23	14
"Babjevia"	"pH"	"acidic"	"pHacidic"	3.147234303699	1.14874021089393	0.00575859125156275	0.0620959005144919	0.00575859125156275	0.0432268278364061	"abundance"	23	22
"Ceratobasidiaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-5.03386796423459	1.16286053393907	0.00634834794440153	0.0620959005144919	0.00634834794440153	0.0464474064792922	"abundance"	23	9
"Myxozyma"	"pH"	"acidic"	"pHacidic"	4.80199175512289	1.67757211875105	0.00597595681916108	0.0620959005144919	0.00597595681916108	0.0442833723266039	"abundance"	23	20
"Chaetosphaeria"	"pH"	"acidic"	"pHacidic"	3.15561087069928	1.14857758470633	0.00600684182230799	0.0620959005144919	0.0119776014959378	0.0682318091614874	"prevalence"	23	10
"Chloridium"	"pH"	"acidic"	"pHacidic"	3.12312209916941	1.14534042483403	0.00639504639696104	0.0620959005144919	0.0127491961755028	0.0682318091614874	"prevalence"	23	14
"Cosmospora"	"pH"	"acidic"	"pHacidic"	-3.15561087069928	1.14857758470633	0.006006841822308	0.0620959005144919	0.0119776014959378	0.0682318091614874	"prevalence"	23	13
"Cystobasidiales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.15561087069928	1.14857758470633	0.00600684182230801	0.0620959005144919	0.0119776014959378	0.0682318091614874	"prevalence"	23	10
"Hirsutella"	"pH"	"acidic"	"pHacidic"	3.12312209916941	1.14534042483403	0.00639504639696106	0.0620959005144919	0.0127491961755028	0.0682318091614874	"prevalence"	23	14
"Hymenochaetales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.12312209916941	1.14534042483403	0.00639504639696094	0.0620959005144919	0.0127491961755026	0.0682318091614874	"prevalence"	23	14
"Microsporomycetaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.15561087069928	1.14857758470633	0.00600684182230803	0.0620959005144919	0.0119776014959378	0.0682318091614874	"prevalence"	23	10
"Mycosphaerellales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-3.12312209916941	1.14534042483403	0.00639504639696106	0.0620959005144919	0.0127491961755028	0.0682318091614874	"prevalence"	23	9
"Neosetophoma"	"pH"	"acidic"	"pHacidic"	-3.12312209916941	1.14534042483403	0.00639504639696106	0.0620959005144919	0.0127491961755028	0.0682318091614874	"prevalence"	23	9
"Pulvinula"	"pH"	"acidic"	"pHacidic"	-3.12312209916941	1.14534042483403	0.00639504639696103	0.0620959005144919	0.0127491961755028	0.0682318091614874	"prevalence"	23	9
"Sebacinales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-3.12312209916941	1.14534042483403	0.00639504639696101	0.0620959005144919	0.0127491961755027	0.0682318091614874	"prevalence"	23	9
"Sporidiobolaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.12312209916941	1.14534042483403	0.006395046396961	0.0620959005144919	0.0127491961755027	0.0682318091614874	"prevalence"	23	14
"Allantophomopsiella"	"pH"	"acidic"	"pHacidic"	5.96195442124617	2.19525257785293	0.00661078888786238	0.0623211263117902	0.0131778752460049	0.0686199269566743	"prevalence"	23	13
"GS15_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	5.96195442124618	2.19525257785293	0.0066107888878624	0.0623211263117902	0.0131778752460049	0.0686199269566743	"prevalence"	23	13
"Lecanicillium"	"pH"	"acidic"	"pHacidic"	5.96195442124618	2.19525257785293	0.0066107888878624	0.0623211263117902	0.0131778752460049	0.0686199269566743	"prevalence"	23	13
"Rhizopogon"	"pH"	"acidic"	"pHacidic"	-3.93002273605396	1.12891919960877	0.00691704247076941	0.0645812330684336	0.00691704247076941	0.049975631851309	"abundance"	23	23
"Cenococcum"	"pH"	"acidic"	"pHacidic"	7.70029519012859	2.86090245207656	0.00711183625906105	0.0657675524528407	0.00711183625906105	0.0507486587374973	"prevalence"	23	12
"Dermateaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	6.03967982677735	2.26984968317083	0.00779487408073376	0.0700816919665976	0.00779487408073376	0.0549443563251721	"prevalence"	23	11
"Paraphoma"	"pH"	"acidic"	"pHacidic"	-6.03967982677735	2.26984968317083	0.00779487408073382	0.0700816919665976	0.0155289880995332	0.072973618874229	"prevalence"	23	12
"Truncatella"	"pH"	"acidic"	"pHacidic"	-6.03967982677735	2.26984968317083	0.00779487408073382	0.0700816919665976	0.0155289880995332	0.072973618874229	"prevalence"	23	12
"Drechmeria"	"pH"	"acidic"	"pHacidic"	-3.48448328111357	0.982858504768355	0.00799584468653303	0.0704263921072195	0.0159277558408149	0.0742438941612178	"abundance"	23	20
"Neonectria"	"pH"	"acidic"	"pHacidic"	-4.57992985741493	1.24882104503271	0.0080228219793792	0.0704263921072195	0.0080228219793792	0.0553971907313887	"abundance"	23	13
"Saccharomycetales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.18880321316208	1.23027843545003	0.00805080280525372	0.0704263921072195	0.00805080280525372	0.0553971907313887	"abundance"	23	23
"Thelephora"	"pH"	"acidic"	"pHacidic"	-4.2760893780327	1.28233966433629	0.00815946341125295	0.0707396336814877	0.00815946341125295	0.0554843511965201	"abundance"	23	23
"Chytridiales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	2.87906276002367	1.11012895977448	0.00880197388588444	0.0756346605592371	0.0175264730274811	0.0803992175387624	"abundance"	23	19
"Diademospora"	"pH"	"acidic"	"pHacidic"	7.14408546451412	2.34906322978382	0.0103094787498845	0.0878114374222621	0.0103094787498845	0.0669536934543063	"abundance"	23	11
"Cadophora"	"pH"	"acidic"	"pHacidic"	-3.27546837713027	0.96065615958843	0.0104905768510198	0.0885769575855675	0.0104905768510198	0.0671480626457779	"abundance"	23	21
"Amorphothecaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	3.5000671775168	0.342772041167792	0.0108205504249543	0.0895427953688276	0.0108205504249543	0.0679812841915609	"abundance"	23	4
"Apiotrichum"	"pH"	"acidic"	"pHacidic"	3.86185429041601	1.49648068603579	0.0112883521891338	0.0895427953688276	0.0224492774831217	0.0985846900886283	"abundance"	23	18
"Preussia"	"pH"	"acidic"	"pHacidic"	-3.83854380367078	1.21018839337275	0.0127420933304427	0.0895427953688276	0.0127420933304427	0.0682318091614874	"abundance"	23	22
"Pseudogymnoascus"	"pH"	"acidic"	"pHacidic"	2.177466275087	0.910735621006296	0.0123643317597166	0.0895427953688276	0.0245757868195689	0.0985846900886283	"abundance"	23	18
"Sistotrema"	"pH"	"acidic"	"pHacidic"	3.44947998511018	1.40365702697637	0.0141015851360312	0.0895427953688276	0.0280043155687137	0.102446167080484	"abundance"	23	18
"Sporormiaceae_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	-6.68709244307899	1.42425087309614	0.0125976649854223	0.0895427953688276	0.0125976649854223	0.0682318091614874	"abundance"	23	6
"Syzygospora"	"pH"	"acidic"	"pHacidic"	2.82301086530121	1.18430643505238	0.0144251430375071	0.0895427953688276	0.0286422013233616	0.1025648572316	"abundance"	23	19
"Agaricostilbales_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	5.36273568150846	2.19318862994912	0.0144780832882656	0.0895427953688276	0.0144780832882656	0.0703221188287188	"prevalence"	23	10
"Blastocladiomycota_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	5.26750777575908	2.11406930564044	0.0127153467554571	0.0895427953688276	0.0105717538075533	0.0671480626457779	"prevalence"	23	14
"Cylindrosympodium"	"pH"	"acidic"	"pHacidic"	-2.46116423286696	0.984624135960383	0.0124334407577097	0.0895427953688276	0.0247122910663439	0.0985846900886283	"prevalence"	23	12
"Dermea"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326747	0.0895427953688276	0.0267781943666342	0.0985846900886283	"prevalence"	23	9
"Dothiora"	"pH"	"acidic"	"pHacidic"	5.36273568150847	2.1931886299491	0.0144780832882649	0.0895427953688276	0.0144780832882649	0.0703221188287188	"prevalence"	23	10
"Endogonomycetes_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326748	0.0895427953688276	0.0267781943666343	0.0985846900886283	"prevalence"	23	9
"Entimomentora"	"pH"	"acidic"	"pHacidic"	-2.44617798558039	0.984815633433209	0.0129954357737425	0.0895427953688276	0.0258219901965356	0.0985846900886283	"prevalence"	23	10
"Exobasidium"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326748	0.0895427953688276	0.0267781943666343	0.0985846900886283	"prevalence"	23	9
"GS08_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326748	0.0895427953688276	0.0267781943666343	0.0985846900886283	"prevalence"	23	9
"GS22_gen_Incertae_sedis"	"pH"	"acidic"	"pHacidic"	5.36273568150846	2.19318862994911	0.0144780832882652	0.0895427953688276	0.0144780832882652	0.0703221188287188	"prevalence"	23	10
"Hamatocanthoscypha"	"pH"	"acidic"	"pHacidic"	-2.44617798558039	0.98481563343321	0.0129954357737427	0.0895427953688276	0.025821990196536	0.0985846900886283	"prevalence"	23	10
"Haptocillium"	"pH"	"acidic"	"pHacidic"	5.26750777575908	2.11406930564045	0.0127153467554573	0.0895427953688276	0.0252690134678032	0.0985846900886283	"prevalence"	23	14
"Helvella"	"pH"	"acidic"	"pHacidic"	-5.36273568150847	2.1931886299491	0.0144780832882649	0.0895427953688276	0.0287465516808279	0.1025648572316	"prevalence"	23	13
"Kurtzmanomyces"	"pH"	"acidic"	"pHacidic"	-5.26750777575907	2.11406930564044	0.012715346755457	0.0895427953688276	0.012715346755457	0.0682318091614874	"prevalence"	23	9
"Leptobacillium"	"pH"	"acidic"	"pHacidic"	5.26750777575908	2.11406930564045	0.0127153467554573	0.0895427953688276	0.0252690134678031	0.0985846900886283	"prevalence"	23	14
"Mycoarthris"	"pH"	"acidic"	"pHacidic"	-2.44617798558039	0.984815633433209	0.0129954357737426	0.0895427953688276	0.0258219901965357	0.0985846900886283	"prevalence"	23	10
"Nectriella"	"pH"	"acidic"	"pHacidic"	-5.36273568150845	2.19318862994911	0.0144780832882655	0.0895427953688276	0.0287465516808291	0.1025648572316	"prevalence"	23	13
"Oliveonia"	"pH"	"acidic"	"pHacidic"	-5.36273568150847	2.19318862994911	0.0144780832882653	0.0895427953688276	0.0287465516808286	0.1025648572316	"prevalence"	23	13
"Pochonia"	"pH"	"acidic"	"pHacidic"	5.36273568150846	2.19318862994911	0.0144780832882652	0.0895427953688276	0.0144780832882652	0.0703221188287188	"prevalence"	23	10
"Pseudohyphozyma"	"pH"	"acidic"	"pHacidic"	5.36273568150846	2.19318862994912	0.0144780832882656	0.0895427953688276	0.0144780832882656	0.0703221188287188	"prevalence"	23	10
"Psoroglaena"	"pH"	"acidic"	"pHacidic"	-5.26750777575907	2.11406930564045	0.0127153467554575	0.0895427953688276	0.0127153467554575	0.0682318091614874	"prevalence"	23	9
"Pycnora"	"pH"	"acidic"	"pHacidic"	2.46116423286696	0.984624135960383	0.0124334407577096	0.0895427953688276	0.0247122910663438	0.0985846900886283	"prevalence"	23	11
"Renatobasidium"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326747	0.0895427953688276	0.0267781943666342	0.0985846900886283	"prevalence"	23	9
"Rhizosphaera"	"pH"	"acidic"	"pHacidic"	5.36273568150847	2.19318862994911	0.014478083288265	0.0895427953688276	0.014478083288265	0.0703221188287188	"prevalence"	23	10
"Rhodotorula"	"pH"	"acidic"	"pHacidic"	2.77386341201694	1.12264393901365	0.0134799517326748	0.0895427953688276	0.0267781943666343	0.0985846900886283	"prevalence"	23	9
"Schizothecium"	"pH"	"acidic"	"pHacidic"	-2.44617798558039	0.98481563343321	0.0129954357737427	0.0895427953688276	0.0258219901965359	0.0985846900886283	"prevalence"	23	10
"Scleropezicula"	"pH"	"acidic"	"pHacidic"	5.36273568150847	2.19318862994911	0.0144780832882649	0.0895427953688276	0.0144780832882649	0.0703221188287188	"prevalence"	23	10
